date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-09-11,70.8826,71.3074,70.6041,71.2791,3844194,3844194,0.179378,0.252,70.9968,"Sep 11, 15",-0.1448895468385227
2015-09-14,70.9581,71.2791,70.5993,70.9392,4452098,4452098,-0.339876,-0.477,70.8905,"Sep 14, 15",-0.14896720835542718
2015-09-15,71.2413,72.4592,71.0242,72.2232,5473687,5473687,1.284,1.81,71.9585,"Sep 15, 15",-0.13356350906826808
2015-09-16,72.1854,73.1765,72.1193,72.9973,4193087,4193087,0.774158,1.072,72.8372,"Sep 16, 15",-0.12427690188899265
2015-09-17,73.1295,74.0169,72.4781,72.7519,4181793,4181793,-0.245464,-0.336,73.1672,"Sep 17, 15",-0.12722087993032338
2015-09-18,71.7983,72.5064,71.4868,71.7039,12402877,12402877,-1.0479,-1.44,71.8601,"Sep 18, 15",-0.13979336969118217
2015-09-21,72.1476,72.9973,72.0485,72.4498,3266298,3266298,0.745831,1.04,72.4541,"Sep 21, 15",-0.13084506805699853
2015-09-22,71.3829,71.534,70.807,71.4773,5047199,5047199,-0.972415,-1.342,71.187,"Sep 22, 15",-0.1425118107024519
2015-09-23,71.2885,71.7134,70.9298,71.4018,3183322,3183322,-0.075527,-0.106,71.3532,"Sep 23, 15",-0.1434175578178573
2015-09-24,70.7976,70.8354,69.7213,70.5144,6108920,6108920,-0.88745,-1.243,70.2823,"Sep 24, 15",-0.15406338550276769
2015-09-25,71.1752,71.4396,70.5427,70.9014,4478020,4478020,0.387081,0.549,70.9676,"Sep 25, 15",-0.14942068174565667
2015-09-28,70.2972,70.5238,69.1596,69.2398,5894741,5894741,-1.6616,-2.344,69.4856,"Sep 28, 15",-0.16935431627489603
2015-09-29,69.2021,69.4003,68.5979,69.0133,5282964,5282964,-0.226583,-0.327,68.9133,"Sep 29, 15",-0.17207155762111218
2015-09-30,69.7591,70.0423,69.2021,69.9857,4912230,4912230,0.972418,1.409,69.8001,"Sep 30, 15",-0.16040601464071239
2015-10-01,70.014,70.4294,69.1171,69.7591,4741120,4741120,-0.226584,-0.324,69.631,"Oct 1, 15",-0.16312445565198191
2015-10-02,68.6356,70.25,68.4468,70.25,5072423,5072423,0.49093,0.704,69.3428,"Oct 2, 15",-0.15723529990426674
2015-10-05,70.8542,73.205,70.8448,72.9784,6480632,6480632,2.7284,3.884,72.6485,"Oct 5, 15",-0.1245036385841074
2015-10-06,72.9218,73.205,72.4262,72.6102,3887079,3887079,-0.368197,-0.505,72.7257,"Oct 6, 15",-0.12892080531115704
2015-10-07,72.7903,73.7759,72.6671,73.141,3439404,3439404,0.530722,0.731,73.102,"Oct 7, 15",-0.12255298320708852
2015-10-08,72.9609,73.2168,72.127,73.141,3298899,3298899,0,0,72.6881,"Oct 8, 15",-0.12255298320708852
2015-10-09,73.3968,73.7475,72.8093,73.2831,2651845,2651845,0.142149,0.194,73.1799,"Oct 9, 15",-0.12084825916604079
2015-10-12,73.122,73.2736,72.9136,73.2642,1895136,1895136,-0.018953,-0.026,73.1295,"Oct 12, 15",-0.12107499586115554
2015-10-13,72.8282,73.1789,72.5487,72.5913,3247383,3247383,-0.672843,-0.918,72.7565,"Oct 13, 15",-0.1291475420062718
2015-10-14,72.4113,72.7619,71.9659,72.1838,3098610,3098610,-0.407498,-0.561,72.2849,"Oct 14, 15",-0.1340361770993538
2015-10-15,72.9704,73.1486,72.0891,72.724,3615784,3615784,0.540172,0.748,72.5537,"Oct 15, 15",-0.12755558648025467
2015-10-16,73.0462,73.4395,72.6103,73.1694,5613668,5613668,0.445402,0.612,73.112,"Oct 16, 15",-0.12221227833188979
2015-10-19,72.923,73.2642,72.7145,72.9704,4054868,4054868,-0.19901,-0.272,72.9656,"Oct 19, 15",-0.12459961178838871
2015-10-20,73.0178,73.1125,72.6671,72.923,3470846,3470846,-0.047384,-0.065,72.8909,"Oct 20, 15",-0.12516825302375575
2015-10-21,73.2452,73.5485,72.3544,72.506,5952249,5952249,-0.416975,-0.572,72.8552,"Oct 21, 15",-0.1301708562969219
2015-10-22,69.2366,69.4451,67.654,68.7059,23652623,23652623,-3.8001,-5.241,68.3735,"Oct 22, 15",-0.17575932799562363
2015-10-23,69.0091,70.914,68.8177,70.6865,9341271,9341271,1.9806,2.883,70.3155,"Oct 23, 15",-0.15199876194566483
2015-10-26,69.464,70.4401,69.3029,70.3074,5228255,5228255,-0.379069,-0.536,70.136,"Oct 26, 15",-0.1565466921635479
2015-10-27,69.9284,70.3264,69.8715,70.1369,4099007,4099007,-0.170579,-0.243,70.0898,"Oct 27, 15",-0.15859212107979456
2015-10-28,70.4591,70.5538,69.9473,70.5538,7841058,7841058,0.416975,0.595,70.3115,"Oct 28, 15",-0.15359071747168196
2015-10-29,70.2695,71.0466,70.1653,70.3359,5250170,5250170,-0.217965,-0.309,70.5308,"Oct 29, 15",-0.15620478762329565
2015-10-30,70.2032,70.3927,69.2366,69.4261,6310102,6310102,-0.90976,-1.293,69.6016,"Oct 30, 15",-0.1671193402801937
2015-11-02,69.5872,70.1937,69.4356,70.0705,4940641,4940641,0.644413,0.928,70.023,"Nov 2, 15",-0.1593886986753299
2015-11-03,70.2695,70.3833,70.0042,70.1558,5048213,5048213,0.085289,0.122,70.2118,"Nov 3, 15",-0.1583653843846798
2015-11-04,70.4212,70.9329,70.0705,70.1937,12872736,12872736,0.037907,0.054,70.3253,"Nov 4, 15",-0.15791071132939674
2015-11-05,70.2695,70.4401,69.7199,70.061,4983712,4983712,-0.132673,-0.189,70.0657,"Nov 5, 15",-0.1595026668554139
2015-11-06,70.6581,70.8855,70.2316,70.4117,7440801,7440801,0.350639,0.5,70.5435,"Nov 6, 15",-0.1552954415127297
2015-11-09,70.2032,70.3738,69.3977,69.5777,5622559,5622559,-0.833948,-1.184,69.682,"Nov 9, 15",-0.165300648059062
2015-11-10,69.2934,69.7294,69.2745,69.5304,4961893,4961893,-0.047384,-0.068,69.5051,"Nov 10, 15",-0.16586808962937546
2015-11-11,69.6156,69.7483,68.9523,69.0944,4719547,4719547,-0.435928,-0.627,69.183,"Nov 11, 15",-0.17109862926270994
2015-11-12,68.9144,68.9807,68.0643,68.2131,6112490,6112490,-0.881331,-1.276,68.3366,"Nov 12, 15",-0.18167127737935573
2015-11-13,67.9383,68.4293,67.3792,67.4739,4486731,4486731,-0.73918,-1.084,67.79,"Nov 13, 15",-0.19053920145495376
2015-11-16,67.1233,67.9098,66.5357,67.9098,5244587,5244587,0.435927,0.646,67.4411,"Nov 16, 15",-0.18530986148667286
2015-11-17,68.1562,68.2605,67.2465,67.3886,5867721,5867721,-0.521216,-0.768,67.6057,"Nov 17, 15",-0.19156251574560387
2015-11-18,67.4076,68.3932,67.4076,68.3742,5816951,5816951,0.985572,1.463,67.9458,"Nov 18, 15",-0.17973861697813967
2015-11-19,68.3268,69.066,68.2937,68.9333,4851343,4851343,0.559127,0.818,68.7739,"Nov 19, 15",-0.1730312896639258
2015-11-20,69.066,69.5114,68.3221,68.6301,4429647,4429647,-0.303256,-0.44,68.6904,"Nov 20, 15",-0.17666867410618958
2015-11-23,68.668,68.9333,68.3932,68.4595,3251421,3251421,-0.17058,-0.249,68.5929,"Nov 23, 15",-0.17871530268748959
2015-11-24,68.1089,68.1941,67.2844,67.8814,4873095,4873095,-0.578077,-0.844,67.7922,"Nov 24, 15",-0.18565056636187177
2015-11-25,67.9478,68.0425,67.5213,67.9383,4391278,4391278,0.056858,0.084,67.7993,"Nov 25, 15",-0.1849679569464206
2015-11-27,68.0425,68.2273,67.6871,68.0899,1547504,1547504,0.151628,0.223,68.0061,"Nov 27, 15",-0.1831492647252887
2015-11-30,68.0899,68.2984,67.6824,67.8909,5377171,5377171,-0.19901,-0.292,67.932,"Nov 30, 15",-0.1855365981817876
2015-12-01,68.2321,68.6538,67.8246,68.4216,4193461,4193461,0.530692,0.782,68.2433,"Dec 1, 15",-0.17916997574277266
2015-12-02,68.3647,68.649,67.3365,67.4739,4146008,4146008,-0.947665,-1.385,67.7776,"Dec 2, 15",-0.19053920145495376
2015-12-03,67.6729,67.9478,66.4504,66.7347,6807762,6807762,-0.73918,-1.096,66.8278,"Dec 3, 15",-0.19940712553055182
2015-12-04,66.8106,67.5734,66.6779,67.3792,4993389,4993389,0.644413,0.966,67.3179,"Dec 4, 15",-0.19167528426063446
2015-12-07,67.1138,67.3697,66.4978,66.9148,5926406,5926406,-0.464356,-0.689,66.7732,"Dec 7, 15",-0.19724652876916765
2015-12-08,66.3746,66.4789,65.6828,66.2514,7669061,7669061,-0.663366,-0.991,66.0991,"Dec 8, 15",-0.20520510673419975
2015-12-09,65.806,67.0949,65.7207,66.204,6910707,6910707,-0.047385,-0.072,66.2697,"Dec 9, 15",-0.205773747969567
2015-12-10,66.0903,66.9527,65.9671,66.441,4782972,4782972,0.236916,0.358,66.5402,"Dec 10, 15",-0.20293054179273143
2015-12-11,65.427,66.1804,64.8963,65.2564,9094343,9094343,-1.1846,-1.783,65.4826,"Dec 11, 15",-0.21714177401669454
2015-12-14,65.3796,65.7871,64.2518,65.2279,6393035,6393035,-0.028431,-0.044,64.9403,"Dec 14, 15",-0.21748367855694684
2015-12-15,66.0998,66.9432,65.9482,66.4789,6247229,6247229,1.2509,1.918,66.4635,"Dec 15, 15",-0.20247586873744855
2015-12-16,67.0096,67.2465,66.1472,67.0096,5581779,5581779,0.530695,0.798,66.6817,"Dec 16, 15",-0.1961092462984334
2015-12-17,67.0854,67.2465,65.7776,65.9292,4800033,4800033,-1.0803,-1.612,66.2445,"Dec 17, 15",-0.20907042753663185
2015-12-18,65.5122,65.5122,64.0339,64.3182,17898859,17898859,-1.611,-2.444,64.5246,"Dec 18, 15",-0.2283970315487915
2015-12-21,64.5835,65.1711,64.4319,64.8204,4733428,4733428,0.502263,0.781,64.7289,"Dec 21, 15",-0.22237231365002882
2015-12-22,65.1427,65.5122,64.6404,65.2469,3796765,3796765,0.426452,0.658,65.0978,"Dec 22, 15",-0.2172557421967787
2015-12-23,65.4364,66.3272,65.3322,66.3083,5277981,5277981,1.0614,1.627,65.9824,"Dec 23, 15",-0.20452249731874858
2015-12-24,66.0903,66.82,66.0903,66.4883,1956388,1956388,0.180057,0.272,66.5395,"Dec 24, 15",-0.20236310022241796
2015-12-28,66.3367,66.4315,65.7302,66.1093,2860713,2860713,-0.379066,-0.57,66.0376,"Dec 28, 15",-0.2069098307752475
2015-12-29,66.6021,66.9148,66.4504,66.8579,3838817,3838817,0.748656,1.132,66.7029,"Dec 29, 15",-0.19792913818461885
2015-12-30,66.82,67.0442,66.4125,66.4883,2792695,2792695,-0.36959,-0.553,66.7358,"Dec 30, 15",-0.20236310022241796
